Article_Title,Article_Link,Date,Topic
"Somalia, AU to review Amisom transition plan",https://nation.africa/kenya/news/africa/somalia-au-to-review-amisom-transition-plan-3668564,12/31/2021,Terrorism
Boy who attempted to sell bhang to OCS jailed,https://nation.africa/kenya/counties/muranga/boy-who-attempted-to-sell-bhang-to-ocs-jailed-3667988,12/31/2021,Drug-Trafficking
"Finally, East and Central Africa’s first public children’s hospital",https://nation.africa/kenya/sports/athletics/finally-east-and-central-africa-s-first-public-children-s-hospital-and-plans-for-cancer-one-too--3667738,12/31/2021,Terrorism
Ghislaine Maxwell guilty of helping Jeffrey Epstein abuse ...,https://www.the-star.co.ke/news/world/2021-12-30-ghislaine-maxwell-guilty-of-helping-jeffrey-epstein-abuse-girls/,12/31/2021,Trafficking
All set for the KBF playoffs next month,https://www.the-star.co.ke/sports/football/2021-12-31-all-set-for-the-kbf-playoffs-next-month/,12/31/2021,Terrorism
" Somalia, AU agree to review Amisom transition plan ahead of deadline",https://www.theeastafrican.co.ke/tea/rest-of-africa/somalia-au-agree-to-review-amisom-transition-plan-3668586,12/31/2021,Terrorism
"William Ruto, 6 Other Politicians Who Had Trying Moments in 2021",https://www.tuko.co.ke/politics/438689-william-ruto-6-other-politicians-who-had-trying-moments-2021/,12/31/2021,Terrorism
Ronnie Osumba: Former Safaricom Executive Emotionally Narrates He Had Everything...,https://www.tuko.co.ke/people/438682-ronnie-osumba-kenyan-man-emotionally-narrates-having-everything-30-losing-it-all-40/,12/31/2021,Terrorism
Diana Marua to Ringtone: List of Celebrity Clout Chasing Moments of 2021,https://www.tuko.co.ke/entertainment/celebrities/438704-diana-marua-ringtone-list-celebrity-clout-chasing-moments-2021/,12/31/2021,Terrorism
Court freezes top cars after owners charged with drug trafficking,https://www.businessdailyafrica.com//bd/news/court-freezes-top-cars-owners-charged-drug-trafficking-3668026,1/3/2022,Drug-Trafficking
Man accused of smuggling people to Europe arrested in Nairobi,https://nation.africa/kenya/news/dutch-national-accused-of-smuggling-people-to-europe-arrested-in-nairobi-3670580,1/3/2022,Smuggling
